,gid_3
3803,PHL.12.7.34_1
3804,PHL.12.7.35_1
3805,PHL.12.7.36_1
3807,PHL.12.7.38_1
3809,PHL.12.7.40_1
3810,PHL.12.7.6_1
3811,PHL.12.7.7_1
3812,PHL.12.7.8_1
3813,PHL.12.7.9_1
3814,PHL.12.7.10_1
3815,PHL.12.7.5_1
3818,PHL.12.8.3_1
3819,PHL.12.8.4_1
3820,PHL.12.8.9_1
3823,PHL.12.8.12_1
3825,PHL.12.8.14_1
3827,PHL.12.8.16_1
3828,PHL.12.8.17_1
3830,PHL.12.8.19_1
3835,PHL.12.8.24_1
3842,PHL.12.9.10_1
3844,PHL.12.9.12_1
3845,PHL.12.9.13_1
3848,PHL.12.9.16_1
3850,PHL.12.9.18_1
3852,PHL.12.9.20_1
3853,PHL.12.9.21_1
3854,PHL.12.9.8_1
3855,PHL.12.9.5_1
3856,PHL.12.9.6_1
3857,PHL.12.9.7_1
3858,PHL.12.9.2_1
3859,PHL.12.9.3_1
3860,PHL.12.9.4_1
3861,PHL.12.9.9_1
3914,PHL.15.11.19_1
3915,PHL.15.11.20_1
3917,PHL.15.11.22_1
3918,PHL.15.11.23_1
3951,PHL.15.13.1_1
3952,PHL.15.13.2_1
3953,PHL.15.13.3_1
3955,PHL.15.13.5_1
3957,PHL.15.13.7_1
3958,PHL.15.13.19_1
3959,PHL.15.13.8_1
3960,PHL.15.13.9_1
3962,PHL.15.13.11_1
3964,PHL.15.13.13_1
3965,PHL.15.13.14_1
3967,PHL.15.13.16_1
3973,PHL.15.13.23_1
3974,PHL.15.13.24_1
3975,PHL.15.13.25_1
3977,PHL.15.13.27_1
3979,PHL.15.13.29_1
3981,PHL.15.14.22_1
3982,PHL.15.14.1_1
3984,PHL.15.14.3_1
3987,PHL.15.14.7_1
3988,PHL.15.14.8_1
3990,PHL.15.14.10_1
3992,PHL.15.14.12_1
3993,PHL.15.14.13_1
3997,PHL.15.14.17_1
3998,PHL.15.14.18_1
3999,PHL.15.14.19_1
4000,PHL.15.14.20_1
4008,PHL.15.15.7_1
4026,PHL.15.16.1_1
4030,PHL.15.16.5_1
4031,PHL.15.16.6_1
4032,PHL.15.16.7_1
4034,PHL.15.17.1_1
4035,PHL.15.17.2_1
4037,PHL.15.17.4_1
4040,PHL.15.17.7_1
4041,PHL.15.17.8_1
4042,PHL.15.17.9_1
4048,PHL.15.18.9_1
4049,PHL.15.18.1_1
4052,PHL.15.18.4_1
4054,PHL.15.18.6_1
4057,PHL.15.18.10_1
4058,PHL.15.18.11_1
4059,PHL.15.18.12_1
4060,PHL.15.18.13_1
4061,PHL.15.18.14_1
4423,PHL.15.31.24_1
4431,PHL.15.31.32_1
4432,PHL.15.31.33_1
4433,PHL.15.31.34_1
4434,PHL.15.31.35_1
4447,PHL.15.31.52_1
4462,PHL.15.31.67_1
4542,PHL.15.36.17_1
4543,PHL.15.36.1_1
4544,PHL.15.36.2_1
4546,PHL.15.36.4_1
4547,PHL.15.36.5_1
4548,PHL.15.36.6_1
4551,PHL.15.36.9_1
4555,PHL.15.36.13_1
4557,PHL.15.36.15_1
4558,PHL.15.36.16_1
4559,PHL.15.36.18_1
4560,PHL.15.36.19_1
4563,PHL.15.36.22_1
4564,PHL.15.36.23_1
4566,PHL.15.37.23_1
4567,PHL.15.37.24_1
4569,PHL.15.37.2_1
4570,PHL.15.37.3_1
4577,PHL.15.37.10_1
4579,PHL.15.37.12_1
4580,PHL.15.37.13_1
4581,PHL.15.37.14_1
4583,PHL.15.37.16_1
4584,PHL.15.37.17_1
4585,PHL.15.37.18_1
4586,PHL.15.37.19_1
4587,PHL.15.37.20_1
4588,PHL.15.37.21_1
4601,PHL.15.39.1_1
4602,PHL.15.39.2_1
4605,PHL.15.39.5_1
4606,PHL.15.39.6_1
4608,PHL.15.39.8_1
4610,PHL.15.39.10_1
4611,PHL.15.39.11_1
4612,PHL.15.39.12_1
4613,PHL.15.39.13_1
4614,PHL.15.39.14_1
4616,PHL.15.39.16_1
4617,PHL.15.39.17_1
4685,PHL.15.43.6_1
4686,PHL.15.43.7_1
4691,PHL.15.43.12_1
4692,PHL.15.43.13_1
4693,PHL.15.43.14_1
4694,PHL.15.43.15_1
4776,PHL.15.47.2_1
4777,PHL.15.47.3_1
4780,PHL.15.47.6_1
4784,PHL.15.47.10_1
4786,PHL.15.47.12_1
4788,PHL.15.47.14_1
4791,PHL.15.47.17_1
4793,PHL.15.47.20_1
4796,PHL.15.47.23_1
4798,PHL.15.47.25_1
4801,PHL.15.47.28_1
4805,PHL.15.47.32_1
4809,PHL.15.47.36_1
4810,PHL.15.47.37_1
4813,PHL.15.47.40_1
4814,PHL.15.47.41_1
4815,PHL.15.47.42_1
4816,PHL.15.47.43_1
4898,PHL.15.6.8_1
4910,PHL.15.6.24_1
4912,PHL.15.6.26_1
4918,PHL.15.6.14_1
4919,PHL.15.6.15_1
4920,PHL.15.6.16_1
4921,PHL.15.6.17_1
4976,PHL.3.10.6_1
4999,PHL.3.11.18_1
5004,PHL.3.11.23_1
5025,PHL.3.13.3_1
5028,PHL.3.13.7_1
5031,PHL.3.13.10_1
5032,PHL.3.13.11_1
5058,PHL.3.1.26_1
5065,PHL.3.1.5_1
5075,PHL.3.1.14_1
5085,PHL.3.1.24_1
5147,PHL.3.3.37_1
5190,PHL.3.6.19_1
